Business Name (DBA),Address1,Address2,City,State,Zip,Community Board,NAICS Code,Number of Worker-Owners,Number of Non-Member Worker-Owners,Subtype,Borough,Latitude,Longitude,City Council,Census Tract,BIN,BBL,NTA
Dos Pinos Landscaping LLC,111-16 Rockaway Beach Boulevard,#3,Queens,NY,11694,14 QUEENS,Landscaping Services,4,,Market Research,QUEENS,40.580969,-73.83311,32,938,4452164,4161660050,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
Ecomundo Cleaning LLC,612 West 182nd Street,,Manhattan,NY,10033,12 MANHATTAN,Janitorial Services,18,,Coaching,MANHATTAN,40.850065,-73.933737,10,271,1063942,1021650009,Washington Heights North
Ecomundo Cleaning LLC,612 West 182nd Street,,Manhattan,NY,10033,12 MANHATTAN,Janitorial Services,18,,Market Research,MANHATTAN,40.850065,-73.933737,10,271,1063942,1021650009,Washington Heights North
Emigre Gourmet Catering Collective,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Caterers,5,,Market Research,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Friends of Light,499 Madison Street,,Brooklyn,NY,11221,3 BROOKLYN,Apparel Accessories and Other Apparel Manufacturing,4,,Business Plan Development,BROOKLYN,40.686237,-73.937463,36,277,3044829,3016390066,Stuyvesant Heights
GLOCAL,Business address not made available,,,,,,Software Publishers,3,,Bookkeeping,,,,,,,,
GLOCAL,Business address not made available,,,,,,Software Publishers,3,,Market Research,,,,,,,,
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,Bookkeeping,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,Business Plan Development,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,Coaching,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,Financial Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,Internal Manuals,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,Market Research,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,Organizational Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,Strategic Planning,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Golden Steps Elder Care Cooperative,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Home Health Care Services,14,,,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
Kaluk Marketing,443 39th Street,,Brooklyn,NY,11232,7 BROOKLYN,Marketing Consulting Services,4,4,,BROOKLYN,40.652001,-74.00511,38,84,3396141,3007050059,Sunset Park West
